price,year_model,mileage,fuel_type,mark,model,fiscal_power,city
13500.0,2007.0,104999.5,Diesel,Volkswagen,GOLF 2,6.0, Oujda
27000.0,2008.0,274999.5,Diesel,Hond,CR-V,8.0, Fès
15930.000000000002,2007.0,274999.5,Diesel,Ssangyong,Rexton,, Marrakech
12690.0,2005.0,224999.5,Diesel,Citroen,Berling,, Casablanca
15390.000000000002,2001.0,27499.5,Diesel,Citroen,C5,6.0, Tétouan
14310.000000000002,2007.0,12499.5,Ess,Ford,Fiesta,, Settat
21600.0,2008.0,224999.5,Diesel,Ki,Sportag,, Fès
21060.0,2003.0,82499.5,Diesel,BMW,Serie 3,, Casablanca
12150.0,1997.0,194999.5,Diesel,Renault,gan,, Casablanca
29160.000000000004,2016.0,72499.5,Diesel,Ford,Fiesta,6.0, Marrakech
26460.0,2014.0,87499.5,Diesel,Fiat,Dob,, Tanger
48330.0,2013.0,134999.5,Diesel,Volkswagen,Touareg,12.0, Casablanca
17010.0,2005.0,194999.5,Diesel,Renault,Cli,, Kénitra
8910.0,2000.0,144999.5,Ess,Fiat,Pali,, Ben Guerir
10260.0,1989.0,32499.5,Diesel,Peugeot,309,, Agadir
21600.0,2013.0,72499.5,Diesel,Daci,Logan,6.0, Settat
32400.000000000004,2017.0,37499.5,Diesel,Citroen,Berling,6.0, Tanger
15930.000000000002,2005.0,124999.5,Ess,Ford,Fusion,8.0, Oujda
13500.0,2010.0,52499.5,Ess,Citroen,C1,6.0, Mohammedia
24300.0,2005.0,224999.5,Diesel,BMW,Serie 5,, Tétouan
13500.0,1988.0,274999.5,Diesel,cedes-Benz,250,10.0, Oujda
22950.0,2005.0,224999.5,Diesel,Volkswagen,Passat,8.0, Casablanca
16200.000000000002,2006.0,224999.5,Diesel,Peugeot,407,8.0, Rabat
16200.000000000002,1998.0,374999.5,Diesel,cedes-Benz,220,, Tanger
8316.0,2008.0,124999.5,Ess,Zoty,Noma,, Casablanca
16200.000000000002,2005.0,174999.5,Diesel,Peugeot,206 SW,6.0, Rabat
34560.0,2011.0,194999.5,Diesel,Volkswagen,Caddy,, Fès
32400.000000000004,2009.0,144999.5,Diesel,Volkswagen,Touran,8.0, Casablanca
16740.0,2001.0,224999.5,Diesel,Skod,Octavia,, Agadir
17955.0,2007.0,17499.5,Diesel,Daci,Logan,6.0, Salé
32400.000000000004,2017.0,77499.5,Diesel,Citroen,Berling,, Tanger
15660.000000000002,2010.0,7499.5,Ess,Daci,Logan,5.0, Marrakech
12690.0,2007.0,12499.5,Ess,Daci,Logan,8.0, Skhirat
68850.0,2012.0,224999.5,Diesel,cedes-Benz,220,9.0, Casablanca
15660.000000000002,2001.0,224999.5,Ess,Volkswagen,GOLF 4,, Guelmim
70200.0,2014.0,92499.5,Diesel,cedes-Benz,Classe CLA,7.0, Meknès
41850.0,2013.0,184999.5,Diesel,Volkswagen,PASSAT CC,8.0, Rabat
102600.0,2014.0,224999.5,Diesel,cedes-Benz,Classe C,9.0, Tétouan
45630.0,2014.0,104999.5,Diesel,Volkswagen,GOLF 7,8.0, Rabat
5400.0,1985.0,134999.5,Ess,Renault,R11,, Rabat
64800.00000000001,2011.0,154999.5,Diesel,cedes-Benz,Classe E,7.0, Casablanca
16200.000000000002,2014.0,92499.5,Ess,Hyundai,i 10,, Casablanca
79650.0,2015.0,174999.5,Diesel,Volkswagen,Tiguan,8.0, Mohammedia
23760.0,2016.0,92499.5,Diesel,Fiat,Dob,5.0, Laâyoune
1269.0,2008.0,97499.5,Ess,Ki,Picant,5.0, Bouznika
1971000.0000000002,2011.0,114999.5,Diesel,Peugeot,807,6.0, Salé
10530.0,2010.0,114999.5,Ess,Chery,A113,, Casablanca
140400.0,2009.0,12499.5,Ess,Autres,Autres,, Meknès
18900.0,2011.0,104999.5,Diesel,Daci,Logan,6.0, Casablanca
85050.0,2016.0,114999.5,Diesel,cedes-Benz,Classe CLA,, Casablanca
3780.0000000000005,1986.0,27499.5,Diesel,Renault,R9,, Meknès
9450.0,2006.0,134999.5,Ess,Daihats,YRV,, Meknès
9180.0,1999.0,67499.5,Ess,Fiat,Pali,6.0, Casablanca
22950.0,2014.0,154999.5,Diesel,Daci,Logan,6.0, Temara
31050.000000000004,2014.0,92499.5,Ess,Alfa Romeo,159,, Casablanca
17550.0,2012.0,114999.5,Diesel,Daci,Logan,6.0, Rabat
13500.0,2018.0,12499.5,Diesel,Daci,Logan,, Nador
14850.000000000002,1995.0,134999.5,Diesel,Renault,19,, Agadir
22680.0,2012.0,194999.5,Diesel,Daci,Dokker,, Ouarzazate
46440.0,2017.0,22499.5,Diesel,Skod,Octavia,, Oujda
19440.0,2007.0,224999.5,Diesel,Nissan,X-Trai,9.0, Casablanca
12420.0,2000.0,32499.5,Diesel,Renault,19,7.0, Tanger
12690.0,2002.0,114999.5,Ess,Renault,Cli,, Meknès
18900.0,2009.0,104999.5,Diesel,Peugeot,208,8.0, Nador
12690.0,2005.0,104999.5,Diesel,Renault,Laguna,9.0, Mohammedia
35100.0,2016.0,32499.5,Diesel,Renault,Kang,, Meknès
5130.0,1999.0,174999.5,Ess,Suzuki,BALENO,7.0, Salé
18090.0,2007.0,27499.5,Diesel,Citroen,C4,, Rabat
10800.0,2007.0,72499.5,Ess,Hyundai,Atos,6.0, Casablanca
37260.0,2013.0,164999.5,Diesel,Nissan,Qashqai,6.0, Marrakech
864.0,1998.0,27499.5,Ess,Renault,gan,9.0, Temara
56700.00000000001,2010.0,184999.5,Diesel,Audi,Q5,, Casablanca
126900.00000000001,2003.0,164999.5,Diesel,Fiat,Pali,, Casablanca
17550.0,2010.0,144999.5,Diesel,Daci,Logan,6.0, Rabat
28350.000000000004,2015.0,114999.5,Diesel,Peugeot,208,, Casablanca
162000.0,2013.0,47499.5,Diesel,Porsch,Panamera,, Mohammedia
9180.0,2003.0,184999.5,Ess,Fiat,Siena,, Marrakech
36450.0,2008.0,134999.5,Diesel,Alfa Romeo,Spider,10.0, Agadir
17550.0,2005.0,224999.5,Diesel,Volkswagen,P,8.0, Tétouan
32400.000000000004,2013.0,37499.5,Diesel,Daci,Duster,7.0, Casablanca
39150.0,2015.0,2499.5,Diesel,Ford,Focus,6.0, Agadir
15390.000000000002,2007.0,104999.5,Ess,Toyot,Yaris,6.0, Casablanca
48600.0,2012.0,77499.5,Diesel,BMW,X1,8.0, Marrakech
19170.0,2015.0,124999.5,Diesel,Daci,Logan,7.0, Tanger
13770.0,2007.0,7499.5,Ess,Renault,Cli,, Marrakech
23220.0,2014.0,82499.5,Diesel,Daci,Dokker,6.0, Marrakech
33750.0,2010.0,154999.5,Ess,Hond,CR-V,8.0, Salé
16200.000000000002,2007.0,12499.5,Diesel,Daci,Logan,, Rabat
20250.0,2012.0,124999.5,Ess,Ford,Fiesta,6.0, Marrakech
61830.00000000001,2011.0,164999.5,Diesel,cedes-Benz,220,9.0, Fès
33750.0,2012.0,114999.5,Diesel,Hyundai,i 30,6.0, Rabat
29700.000000000004,2011.0,52499.5,Diesel,Hyundai,i 30,, Salé
28620.000000000004,2017.0,42499.5,Diesel,Peugeot,301,6.0, Rabat
29700.000000000004,2014.0,77499.5,Diesel,Volkswagen,P,, Casablanca
