50 000 DH,Année-Modèle:2007,Kilométrage:100 000 - 109 999,Type de carburant:Diesel,Marque:Volkswagen,Modèle:GOLF 2,Puissance fiscale:6 CV,-,"Type:Voitures, Offre", Oujda
100 000 DH,Année-Modèle:2008,Kilométrage:250 000 - 299 999,Type de carburant:Diesel,Marque:Honda,Modèle:CR-V,Puissance fiscale:8 CV,-,"Type:Voitures, Offre", Fès
59 000 DH,Année-Modèle:2007,Kilométrage:250 000 - 299 999,Type de carburant:Diesel,Marque:Ssangyong,Modèle:Rexton,Puissance fiscale:-,-,"Type:Voitures, Offre", Marrakech
47 000 DH,Année-Modèle:2005,Kilométrage:200 000 - 249 999,Type de carburant:Diesel,Marque:Citroen,Modèle:Berlingo,Puissance fiscale:-,-,"Type:Voitures, Offre", Casablanca
57 000 DH,Année-Modèle:2001,Kilométrage:25 000 - 29 999,Type de carburant:Diesel,Marque:Citroen,Modèle:C5,Puissance fiscale:6 CV,-,"Type:Voitures, Offre", Tétouan,Numéro vérifié 
53 000 DH,Année-Modèle:2007,Kilométrage:10 000 - 14 999,Type de carburant:Essence,Marque:Ford,Modèle:Fiesta,Puissance fiscale:-,-,"Type:Voitures, Offre", Settat
80 000 DH,Année-Modèle:2008,Kilométrage:200 000 - 249 999,Type de carburant:Diesel,Marque:Kia,Modèle:Sportage,Puissance fiscale:-,Secteur:ben_souda,"Type:Voitures, Offre", Fès
78 000 DH,Année-Modèle:2003,Kilométrage:80 000 - 84 999,Type de carburant:Diesel,Marque:BMW,Modèle:Serie 3,Puissance fiscale:-,-,"Type:Voitures, Offre", Casablanca
45 000 DH,Année-Modèle:1997,Kilométrage:190 000 - 199 999,Type de carburant:Diesel,Marque:Renault,Modèle:Megane,Puissance fiscale:-,Secteur:anfa,"Type:Voitures, Offre", Casablanca
108 000 DH,Année-Modèle:2016,Kilométrage:70 000 - 74 999,Type de carburant:Diesel,Marque:Ford,Modèle:Fiesta,Puissance fiscale:6 CV,Secteur:massira,"Type:Voitures, Offre", Marrakech,Numéro vérifié 
98 000 DH,Année-Modèle:2014,Kilométrage:85 000 - 89 999,Type de carburant:Diesel,Marque:Fiat,Modèle:Doblo,Puissance fiscale:-,Secteur:zemmouri,"Type:Voitures, Offre", Tanger,Numéro vérifié 
179 000 DH,Année-Modèle:2013,Kilométrage:130 000 - 139 999,Type de carburant:Diesel,Marque:Volkswagen,Modèle:Touareg,Puissance fiscale:12 CV,-,"Type:Voitures, Offre", Casablanca
63 000 DH,Année-Modèle:2005,Kilométrage:190 000 - 199 999,Type de carburant:Diesel,Marque:Renault,Modèle:Clio,Puissance fiscale:-,-,"Type:Voitures, Offre", Kénitra
33 000 DH,Année-Modèle:2000,Kilométrage:140 000 - 149 999,Type de carburant:Essence,Marque:Fiat,Modèle:Palio,Puissance fiscale:-,-,"Type:Voitures, Offre", Ben Guerir
38 000 DH,Année-Modèle:1989,Kilométrage:30 000 - 34 999,Type de carburant:Diesel,Marque:Peugeot,Modèle:309,Puissance fiscale:-,-,"Type:Voitures, Offre", Agadir
80 000 DH,Année-Modèle:2013,Kilométrage:70 000 - 74 999,Type de carburant:Diesel,Marque:Dacia,Modèle:Logan,Puissance fiscale:6 CV,Secteur:toute_la_ville,"Type:Voitures, Offre", Settat,Numéro vérifié 
120 000 DH,Année-Modèle:2017,Kilométrage:35 000 - 39 999,Type de carburant:Diesel,Marque:Citroen,Modèle:Berlingo,Puissance fiscale:6 CV,-,"Type:Voitures, Offre", Tanger,Numéro vérifié 
59 000 DH,Année-Modèle:2005,Kilométrage:120 000 - 129 999,Type de carburant:Essence,Marque:Ford,Modèle:Fusion,Puissance fiscale:8 CV,-,"Type:Voitures, Offre", Oujda

50 000 DH,Année-Modèle:2010,Kilométrage:50 000 - 54 999,Type de carburant:Essence,Marque:Citroen,Modèle:C1,Puissance fiscale:6 CV,Secteur:la_siesta,"Type:Voitures, Offre", Mohammedia
90 000 DH,Année-Modèle:2005,Kilométrage:200 000 - 249 999,Type de carburant:Diesel,Marque:BMW,Modèle:Serie 5,Puissance fiscale:-,Secteur:saniat_rmal,"Type:Voitures, Offre", Tétouan
50 000 DH,Année-Modèle:1988,Kilométrage:250 000 - 299 999,Type de carburant:Diesel,Marque:Mercedes-Benz,Modèle:250,Puissance fiscale:10 CV,-,"Type:Voitures, Offre", Oujda,Numéro vérifié 
85 000 DH,Année-Modèle:2005,Kilométrage:200 000 - 249 999,Type de carburant:Diesel,Marque:Volkswagen,Modèle:Passat,Puissance fiscale:8 CV,Secteur:sbata,"Type:Voitures, Offre", Casablanca
60 000 DH,Année-Modèle:2006,Kilométrage:200 000 - 249 999,Type de carburant:Diesel,Marque:Peugeot,Modèle:407,Puissance fiscale:8 CV,-,"Type:Voitures, Offre", Rabat,Numéro vérifié 
60 000 DH,Année-Modèle:1998,Kilométrage:350 000 - 399 999,Type de carburant:Diesel,Marque:Mercedes-Benz,Modèle:220,Puissance fiscale:-,Secteur:al_kasaba,"Type:Voitures, Offre", Tanger
30 800 DH,Année-Modèle:2008,Kilométrage:120 000 - 129 999,Type de carburant:Essence,Marque:Zotye,Modèle:Nomad,Puissance fiscale:-,-,"Type:Voitures, Offre", Casablanca,Numéro vérifié 
13 000 DH,Année-Modèle:-,Kilométrage:-,Type de carburant:-,Marque:-,Modèle:-,Puissance fiscale:-,-,"Type:Voitures, Offre", Settat,Numéro vérifié 
60 000 DH,Année-Modèle:2005,Kilométrage:170 000 - 179 999,Type de carburant:Diesel,Marque:Peugeot,Modèle:206 SW,Puissance fiscale:6 CV,-,"Type:Voitures, Offre", Rabat
128 000 DH,Année-Modèle:2011,Kilométrage:190 000 - 199 999,Type de carburant:Diesel,Marque:Volkswagen,Modèle:Caddy,Puissance fiscale:-,-,"Type:Voitures, Offre", Fès
120 000 DH,Année-Modèle:2009,Kilométrage:140 000 - 149 999,Type de carburant:Diesel,Marque:Volkswagen,Modèle:Touran,Puissance fiscale:8 CV,-,"Type:Voitures, Offre", Casablanca,Numéro vérifié 


62 000 DH,Année-Modèle:2001,Kilométrage:200 000 - 249 999,Type de carburant:Diesel,Marque:Skoda,Modèle:Octavia,Puissance fiscale:-,Secteur:hay_mohammadi,"Type:Voitures, Offre", Agadir
1er site d'annonces gratuites au Maroc
66 500 DH,Année-Modèle:2007,Kilométrage:15 000 - 19 999,Type de carburant:Diesel,Marque:Dacia,Modèle:Logan,Puissance fiscale:6 CV,-,"Type:Voitures, Offre", Salé,Numéro vérifié 
120 000 DH,Année-Modèle:2017,Kilométrage:75 000 - 79 999,Type de carburant:Diesel,Marque:Citroen,Modèle:Berlingo,Puissance fiscale:-,-,"Type:Voitures, Offre", Tanger,Numéro vérifié 
58 000 DH,Année-Modèle:2010,Kilométrage:5 000 - 9 999,Type de carburant:Essence,Marque:Dacia,Modèle:Logan,Puissance fiscale:5 CV,-,"Type:Voitures, Offre", Marrakech
47 000 DH,Année-Modèle:2007,Kilométrage:10 000 - 14 999,Type de carburant:Essence,Marque:Dacia,Modèle:Logan,Puissance fiscale:8 CV,-,"Type:Voitures, Offre", Skhirat
255 000 DH,Année-Modèle:2012,Kilométrage:200 000 - 249 999,Type de carburant:Diesel,Marque:Mercedes-Benz,Modèle:220,Puissance fiscale:9 CV,-,"Type:Voitures, Offre", Casablanca,Numéro vérifié 
58 000 DH,Année-Modèle:2001,Kilométrage:200 000 - 249 999,Type de carburant:Essence,Marque:Volkswagen,Modèle:GOLF 4,Puissance fiscale:-,Secteur:toute_la_ville,"Type:Voitures, Offre", Guelmim
